"_id","basisOfRecord","catalogNumber","class","collectionCode","continent","country","datasetID","dynamicProperties","family","genus","higherClassification","higherGeography","individualCount","infraspecificEpithet","institutionCode","kingdom","locality","modified","occurrenceID","occurrenceStatus","order","otherCatalogNumbers","phylum","recordedBy","scientificName","scientificNameAuthorship","specificEpithet","subgenus","typeStatus","year"
"9266931","Occurrence","20201039","Gastropoda","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1611590853000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Patella granularis Linnaeus, 1758""}","Patellidae","Patella","Animalia; Mollusca; Gastropoda; Patellidae","","2","","NHMUK","Animalia","","1612302618000","f17161d1-8233-4454-ad1b-482dc7b4c82f","present","","NHMUK:ecatalogue:9266931","Mollusca","","Patella granularis Linnaeus, 1758","Linnaeus, 1758","granularis","","",""
"9266940","Occurrence","20201048","Gastropoda","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1611591842000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Amblychilepas javanicensis (Lamarck, 1822)""}","Fissurellidae","Amblychilepas","Animalia; Mollusca; Gastropoda; Fissurellidae","","3","","NHMUK","Animalia","","1612301845000","3302362b-1e23-4815-9a64-95bca6ab8a10","present","","NHMUK:ecatalogue:9266940","Mollusca","","Amblychilepas javanicensis (Lamarck, 1822)","(Lamarck, 1822)","javanicensis","","",""
"9266942","Occurrence","20201050","Gastropoda","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1611591881000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Hipponix incurvus (Gmelin, 1791)""}","","Hipponix","Animalia; Mollusca; Gastropoda","","2","","NHMUK","Animalia","","1612301847000","ec05ba7f-56b4-40f8-8eb6-579c71dc7fb3","present","","NHMUK:ecatalogue:9266942","Mollusca","","Hipponix incurvus (Gmelin, 1791)","(Gmelin, 1791)","incurvus","","",""
"9266966","Occurrence","20201073","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1611593826000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Voluta vespertilio Linnaeus, 1758""}","","Voluta","","","2","","NHMUK","","","1612303637000","aff904ec-47d4-4b0d-9545-cd7abcd3e003","present","","NHMUK:ecatalogue:9266966","","","Voluta vespertilio Linnaeus, 1758","Linnaeus, 1758","vespertilio","","",""
"9266973","Occurrence","20201080","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1611593953000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Tridacna crocea Lamarck, 1819""}","","Tridacna","Mollusca","","1","","NHMUK","","","1612302984000","f70e5ae5-d65a-48a9-9782-8032f6e42c43","present","","NHMUK:ecatalogue:9266973","Mollusca","","Tridacna crocea Lamarck, 1819","Lamarck, 1819","crocea","","",""
"8582695","Occurrence","20160034","Bivalvia","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1536245911000, ""gbifID"": ""1913211508"", ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""pearl"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Pinctada margaritifera (Linnaeus, 1758)""}","","Pinctada","Animalia; Mollusca; Bivalvia","","1","","NHMUK","Animalia","","1612301844000","f199fe56-f6b9-4fdb-bb0c-15a572863757","present","","NHMUK:ecatalogue:8582695","Mollusca","","Pinctada margaritifera (Linnaeus, 1758)","(Linnaeus, 1758)","margaritifera","","",""
"8726261","Occurrence","20190010","Bivalvia","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1548082941000, ""gbifID"": ""1989788521"", ""gbifIssue"": [""TAXON_MATCH_NONE""], ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Artefact"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Pinna nobilis (Linnaeus, 1758)""}","","Pinna","Mollusca; Bivalvia","","2","","NHMUK","","","1612303636000","605c9eb6-8699-478d-931e-1cbf3e8e231c","present","","NHMUK:ecatalogue:8726261","Mollusca","","Pinna nobilis (Linnaeus, 1758)","(Linnaeus, 1758)","nobilis","","",""
"6512285","Occurrence","20150576","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1451563322000, ""gbifID"": ""1265745474"", ""gbifIssue"": [""TAXON_MATCH_NONE""], ""barcode"": ""011254604"", ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Bursa bubo (Linnaeus, 1758)""}","","Bursa","Mollusca","","1","","NHMUK","","","1612301844000","c797ccc3-dd14-436b-b070-df38147274cd","present","","NHMUK:ecatalogue:6512285","Mollusca","","Bursa bubo (Linnaeus, 1758)","(Linnaeus, 1758)","bubo","","",""
"9266910","Occurrence","20201331","Bivalvia","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1611589129000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Arca campechiensis Gmelin, 1791"", ""associatedMediaCount"": 1}","Arcidae","Arca","Animalia; Mollusca; Bivalvia; Arcidae","","5","","NHMUK","Animalia","","1612303648000","ba3a78e5-9ccc-40fa-98ec-f738ed49856c","present","","NHMUK:ecatalogue:9266910","Mollusca","","Arca campechiensis Gmelin, 1791","Gmelin, 1791","campechiensis","","",""
"8270807","Occurrence","20180117","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1518192895000, ""gbifID"": ""1826441368"", ""barcode"": ""013575626"", ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Strombus gigas Linnaeus,1758""}","","Strombus","Mollusca","","2","","NHMUK","","Barbados","1612297264000","018ef6e7-3f36-40d2-9689-9ad59e91ad10","present","","NHMUK:ecatalogue:8270807","Mollusca","","Strombus gigas Linnaeus,1758","Linnaeus,1758","gigas","","",""
