"_id","title","identifier","type","license","rightsHolder","created"
"4379","BM 60309 PL & TD labels","https://data.nhm.ac.uk/media/26163d1d-3d96-4c86-b805-fe79dc56187a","StillImage","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1147963284000"
"4381","BM 60309 TD label","https://data.nhm.ac.uk/media/b14601f2-a5b4-4729-9b85-0dcb65128099","StillImage","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1147963383000"
"4383","BM 60309 PL","https://data.nhm.ac.uk/media/bc3fbc78-8995-47ca-a568-498d6edeeca8","StillImage","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1147963490000"
