"_id","basisOfRecord","catalogNumber","collectionCode","continent","coordinateUncertaintyInMeters","country","datasetID","decimalLatitude","decimalLongitude","dynamicProperties","fieldNumber","higherGeography","institutionCode","islandGroup","locality","modified","occurrenceID","occurrenceStatus","otherCatalogNumbers","scientificName","specificEpithet","stateProvince","typeStatus","verbatimLatitude","verbatimLongitude"
"80929","Occurrence","BM.59453","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862835000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Actinolite""}","","","NHMUK","","[New Zealand] T.D.","1608732394000","3d5fb2a3-c872-4718-a8ff-bf48fe39962d","present","NHMUK:ecatalogue:80929","Actinolite","Actinolite","","","",""
"82547","Occurrence","BM.60875","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863049000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz""}","","","NHMUK","","unknown","1623074474000","f3cc857f-a861-44f1-9d31-3a65dcce9896","present","NHMUK:ecatalogue:82547","Quartz","Quartz","","","",""
"82749","Occurrence","BM.61035","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863078000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Lazurite""}","","","NHMUK","","unknown","1623074476000","666bb166-40cc-43fb-8745-96e1d738c951","present","NHMUK:ecatalogue:82749","Lazurite","Lazurite","","","",""
"79698","Occurrence","BM.58339c","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862659000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Gems"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz"", ""identificationDescription"": ""Rock crystal; clear; slightly flawed; faceted; 1.039 gm.""}","96","","NHMUK","","no locality","1608732319000","43bbacca-e11f-4074-a25d-5fd5a566b511","present","NHMUK:ecatalogue:79698","Quartz","Quartz","","","",""
"79701","Occurrence","BM.58339f","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862659000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Gems"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz"", ""identificationDescription"": ""Rock crystal; clear; faceted; 0.328 gm.""}","99","","NHMUK","","no locality","1608732320000","745a2cd8-c6c7-43d2-ac26-3e7a5bc0b63a","present","NHMUK:ecatalogue:79701","Quartz","Quartz","","","",""
"79696","Occurrence","BM.58339b","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862658000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Gems"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz"", ""identificationDescription"": ""Rock crystal; clear; faceted; chipped on edge of table.  0.950 gm.""}","95","","NHMUK","","no locality","1608732321000","8217a44b-a4b3-4373-8df6-003c63c6651f","present","NHMUK:ecatalogue:79696","Quartz","Quartz","","","",""
"79694","Occurrence","BM.58339a","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862658000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Gems"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz"", ""identificationDescription"": ""Rock crystal; clear; flawed; faceted;    1.408 gm.""}","94","","NHMUK","","no locality","1608732322000","9af2b57f-19ff-4d0d-b1cf-5a093a0b0bf2","present","NHMUK:ecatalogue:79694","Quartz","Quartz","","","",""
"82789","Occurrence","BM.61069","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863083000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Amber"", ""identificationDescription"": ""A small scent bottle, a box, and another article.""}","","","NHMUK","","no locality","1608732520000","398ba732-5d37-48a0-bb2a-e0babf72200b","present","NHMUK:ecatalogue:82789","Amber","Amber","","","",""
"79695","Occurrence","BM.58339axx","MIN","South America","1643.197334","Brazil","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862658000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Gems"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz"", ""identificationDescription"": ""Rock crystal; rectangular tapering, faceted and polished; a seal stamp; wt. 5.9360 gm.""}","188","South America; Brazil","NHMUK","","","1643636303000","b28027d6-31f2-4a21-b467-b8c377f1d650","present","NHMUK:ecatalogue:79695","Quartz","Quartz","","","",""
"79687","Occurrence","BM.58339cc","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862657000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Gems"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz"", ""identificationDescription"": ""Clear rock crystal; faceted; 2 very slight flaws.  15.615 gm.""}","88","","NHMUK","","no locality","1636734722000","e0e88ac1-3959-40d0-aaeb-19b668c1f21a","present","NHMUK:ecatalogue:79687","Quartz","Quartz","","","",""
