"_id","basisOfRecord","catalogNumber","class","collectionCode","continent","coordinateUncertaintyInMeters","country","datasetID","dynamicProperties","family","fieldNumber","genus","higherClassification","higherGeography","identifiedBy","institutionCode","modified","occurrenceID","occurrenceStatus","order","otherCatalogNumbers","phylum","recordNumber","recordedBy","scientificName","scientificNameAuthorship","specificEpithet","stateProvince","year"
"4708393","Occurrence","BM000815364","","BOT","Asia","144.781478","Sri Lanka","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906139000, ""gbifID"": ""1056165389"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Viburnum plicatum Thunb."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Caprifoliaceae","s.n.","Viburnum","Caprifoliaceae","Asia; Sri Lanka","P.-A. Hinz","NHMUK","1619633528000","f53c67fa-f0e3-4ebf-b740-a95d15ff221b","present","","NHMUK:ecatalogue:4708393","","s.n.","Engelbert Kaempfer","Viburnum plicatum Thunb.","Thunb.","plicatum","","1691 - 1692"
"4708397","Occurrence","BM000815368","","BOT","Asia","144.781478","Sri Lanka","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906140000, ""gbifID"": ""1056260032"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Clematis indet."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Ranunculaceae","s.n.","Clematis","Ranunculaceae","Asia; Sri Lanka","P.-A. Hinz","NHMUK","1619633528000","ddb7ceb9-3163-401e-9056-5aad06a85dc1","present","","NHMUK:ecatalogue:4708397","","s.n.","Engelbert Kaempfer","Clematis indet.","","indet.","","1691 - 1692"
"4708627","Occurrence","BM000815598","Liliopsida","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906166000, ""gbifID"": ""1055364196"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Smilax china L."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Smilacaceae","s.n.","Smilax","Magnoliophyta; Liliopsida; Liliales; Smilacaceae","Asia; Japan","P.-A. Hinz","NHMUK","1629817205000","51a24660-6af3-45cb-b436-418fec8a503a","present","Liliales","NHMUK:ecatalogue:4708627","Magnoliophyta","s.n.","Engelbert Kaempfer","Smilax china L.","L.","china","","1691 - 1692"
"4708653","Occurrence","BM000815624","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906169000, ""gbifID"": ""1056470788"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Ligustrum obtusifolium Siebold & Zucc."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Oleaceae","s.n.","Ligustrum","Oleaceae","Asia; Japan","P.-A. Hinz","NHMUK","1619633537000","93df895c-fbf5-45fb-8b9e-529f88fc650c","present","","NHMUK:ecatalogue:4708653","","s.n.","Engelbert Kaempfer","Ligustrum obtusifolium Siebold & Zucc.","Siebold & Zucc.","obtusifolium","","1691 - 1692"
"4708652","Occurrence","BM000815623","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906169000, ""gbifID"": ""1056747798"", ""gbifIssue"": [""RECORDED_DATE_INVALID"", ""TAXON_MATCH_HIGHERRANK""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Lauraceae Juss."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Lauraceae","s.n.","","Magnoliophyta; Laurales; Laurineae; Lauraceae","Asia; Japan","P.-A. Hinz","NHMUK","1619633538000","5f44a7dc-25bd-435c-a75c-a6923a50c79d","present","Laurales","NHMUK:ecatalogue:4708652","Magnoliophyta","s.n.","Engelbert Kaempfer","Lauraceae Juss.","Juss.","","","1691 - 1692"
"4708426","Occurrence","BM000815397","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906143000, ""gbifID"": ""1055791499"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Wisteria Nutt."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Fabaceae","s.n.","Wisteria","Fabales; Fabaceae; Faboideae","Asia; Japan","P-A Hinz","NHMUK","1625507537000","9c122984-0ab2-44c0-8637-57e95d6a0204","present","Fabales","NHMUK:ecatalogue:4708426","","s.n.","Engelbert Kaempfer","Wisteria Nutt.","Nutt.","","","1691 - 1692"
"4708638","Occurrence","BM000815609","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906167000, ""gbifID"": ""1056532064"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": [""Podocarpus nagi (Thunb.) Makino"", ""Myrica nagi Thunb.""], ""determinationFiledAs"": [""Yes"", ""No""], ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Podocarpaceae","s.n.","Podocarpus","Araucariales; Podocarpaceae","Asia; Japan","P.-A. Hinz","NHMUK","1619633535000","ba62e6be-18eb-4ba3-885a-0c56ffd32734","present","Araucariales","NHMUK:ecatalogue:4708638","","s.n.","Engelbert Kaempfer","Podocarpus nagi (Thunb.) Makino","(Thunb.) Makino","nagi","","1691 - 1692"
"4708641","Occurrence","BM000815612","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906167000, ""gbifID"": ""1055348407"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Aristolochia L."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Aristolochiaceae","s.n.","Aristolochia","Magnoliophyta; Piperales; Aristolochiaceae","Asia; Japan","P.-A. Hinz","NHMUK","1619633505000","b6cae219-fc8e-49f6-a7c8-e4908a93104e","present","Piperales","NHMUK:ecatalogue:4708641","Magnoliophyta","s.n.","Engelbert Kaempfer","Aristolochia L.","L.","","","1691 - 1692"
"4708390","Occurrence","BM000815361","Liliopsida","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906139000, ""gbifID"": ""1057552185"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Smilax china L."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Smilacaceae","s.n.","Smilax","Magnoliophyta; Liliopsida; Liliales; Smilacaceae","Asia; Japan","P.-A. Hinz","NHMUK","1629817205000","f0e33177-012b-4122-8c9b-32a58357d912","present","Liliales","NHMUK:ecatalogue:4708390","Magnoliophyta","s.n.","Engelbert Kaempfer","Smilax china L.","L.","china","","1691 - 1692"
"4708748","Occurrence","BM000815721","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906179000, ""gbifID"": ""1055415336"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Juniperus rigida Siebold & Zucc."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Cupressaceae","s.n.","Juniperus","Cupressales; Cupressaceae","Asia; Japan","P.-A. Hinz","NHMUK","1638550642000","f65d86c9-5a1e-477a-8d1c-2b39e893ab00","present","Cupressales","NHMUK:ecatalogue:4708748","","s.n.","Engelbert Kaempfer","Juniperus rigida Siebold & Zucc.","Siebold & Zucc.","rigida","","1691 - 1692"
"4708447","Occurrence","BM000815418","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906145000, ""gbifID"": ""1055847881"", ""gbifIssue"": [""RECORDED_DATE_INVALID"", ""TAXON_MATCH_HIGHERRANK""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Ranunculaceae Juss."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Ranunculaceae","s.n.","","Magnoliophyta; Ranunculales; Ranunculaceae","Asia; Japan","P.-A. Hinz","NHMUK","1619633537000","d7097ccb-c308-400d-9191-08b45ee5572a","present","Ranunculales","NHMUK:ecatalogue:4708447","Magnoliophyta","s.n.","Engelbert Kaempfer","Ranunculaceae Juss.","Juss.","","","1691 - 1692"
